label,SiO2,Al2O3,TFe2O3,CaO,MgO,K2O,Na2O,P,S,Cl,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,As,Br,Rb,Sr,Y,Zr,Nb,Mo,Sn,Sb,Ba,La,Ce,Hf,Ta,W,Pb,Th,U,F,Ga
2,56.215,9.782,3.814,9.692,2.639,1.972,1.702,844.7,365.1,469.7,6.1,4101.5,82.8,60.5,610.1,11.1,23.3,18,59.4,10,1.2,73.1,246.1,27.5,436.1,12.9,1.4,1.9,1.8,445,29,49.1,11.1,1.5,5.6,19.5,11.5,1.9,471.4,12
2,56.515,10.549,4.16,9.349,2.727,2.174,1.629,765.4,306.6,75.2,7.9,4040.6,80.8,69.7,646.8,12.1,25.5,21.5,64.9,13,1.5,86.4,249.1,25.1,284.2,13.2,1.6,6.8,2.6,478.4,11.7,12.3,7.8,1.5,5.9,17.7,10.3,3,607.8,13.1
2,55.851,9.729,3.989,9.773,2.633,1.93,1.651,988.5,292.3,127.6,8,4609.7,91.1,71.2,624.3,12.4,25.6,18.1,57.7,10.7,0.9,73.5,249,31.4,524.9,14.7,0.7,5.7,1.1,460.3,36.5,74.4,13.3,1.6,5.9,19,13,2.9,527.5,12.8
2,56.634,9.825,3.87,9.761,2.619,1.976,1.682,907.2,278.6,105.2,6.3,4288.3,85.3,69.3,614.3,12.3,22.5,18,55.7,11.5,1.3,72.1,247.8,30.2,472.9,13.9,1.9,6.2,0,490.1,25.4,44,12.1,1.6,5.8,18.1,12.2,3.5,461.4,11.5
2,56.927,9.776,3.897,9.696,2.592,1.924,1.704,967.7,290.2,161.2,7,4384,86.4,65,610.9,12.4,23.7,18.7,56.3,11.2,1.4,74.4,247.3,29,495,13.3,0.3,3.1,0.2,462.5,29,51.7,12.7,1.6,5.8,19,11.2,2.9,535.3,11.5
2,57.003,10.269,3.951,9.367,2.668,2.088,1.678,828.3,284.1,191.4,7,3943.7,81.1,62,613.7,12.2,23.5,19,59.1,11.7,1.5,79.9,247.1,25.6,338.8,13.1,1.4,7.4,0,486.2,28.4,48.9,9.1,1.5,5.8,19.5,10.1,3.3,582.3,12.4
2,57.103,10.251,3.969,9.429,2.682,2.052,1.735,838,330.5,499.6,7.5,4050.5,83.3,74.5,607.1,12.5,27.4,19.3,62.3,11.4,0.9,80,248.3,26.8,404.3,12.7,1.5,2.9,0.1,462.4,27.9,49.7,10.5,1.6,6,17,11.6,3.3,620.1,13.2
2,57.012,9.982,3.763,9.53,2.613,2.011,1.68,844,288.5,117,5.9,4062.3,79,62.7,588.3,11.1,22.3,18.2,55.7,11.4,1.6,75.8,243.1,25.7,331.8,13.1,1.3,0,2.3,435.3,28.6,53.8,8.7,1.5,5.4,17.9,9.2,3.1,546.1,12.1
2,56.357,10.48,3.989,9.745,2.812,2.139,1.661,806.3,432.4,390.1,6.5,3945.1,81.1,61.4,626,11.7,24.9,21.5,63.2,11.3,1.8,80.8,252.6,25.5,287.4,12.5,1.4,3.2,2.3,468.8,15.4,28.9,7.8,1.6,6,19.6,10.1,2,570.8,12.9
2,55.499,11.011,4.458,9.92,2.992,2.198,1.617,879,392,355.1,7.9,4511.2,95.4,67,700.4,13.7,28.5,22.4,70.9,13.2,2,86.6,257.7,28.6,381.2,13.8,1.7,2.1,0.1,453.1,27.5,46.7,10,1.6,7.2,19.6,11.3,2.3,659.9,14.4
